order_id,customer_id,restaurant_id,order_timestamp,order_amount,number_of_items,weather,traffic_condition,order_status,preparation_time_minutes_order,delivery_id,driver_id,delivery_distance_km,preparation_time_minutes_delivery,delivery_time_minutes,tip_amount,category,rating,hour,day_of_week,is_weekend,time_of_day
ORD_00001,CUST_0785,REST_025,2026-05-10 00:04:01,100.0,1,Cloudy,Medium,Delivered,28.0,DEL_00001,DRV_0292,7.57,28.0,77.8,10.68,South Indian,4.0,0,6,1,Night
ORD_00002,CUST_0894,REST_066,2026-04-30 05:33:18,396.77,1,Cloudy,Low,Delivered,30.0,DEL_00002,DRV_0419,8.61,30.0,68.3,47.62,North Indian,3.5,5,3,0,Night
ORD_00003,CUST_0776,REST_100,2026-02-03 10:44:48,197.8,5,Clear,Low,Delivered,38.0,DEL_00003,DRV_0424,19.09,38.0,117.3,22.97,Pizza,3.9,10,1,0,Morning
ORD_00004,CUST_0569,REST_018,2026-05-17 07:27:57,145.79,5,Rain,High,Delivered,32.0,DEL_00004,DRV_0407,5.79,32.0,89.5,26.44,Pizza,3.6,7,6,1,Morning
ORD_00005,CUST_0298,REST_005,2026-05-21 01:33:11,147.25,2,Rain,Low,Delivered,39.0,DEL_00005,DRV_0201,3.9,39.0,68.2,17.81,Chinese,4.4,1,3,0,Night
ORD_00006,CUST_0610,REST_019,2026-06-04 09:08:16,100.0,2,Clear,Medium,Delivered,27.0,DEL_00006,DRV_0418,10.39,27.0,80.9,4.82,Indian,4.4,9,3,0,Morning
ORD_00007,CUST_0137,REST_042,2026-02-22 11:46:51,251.22,4,Rain,Medium,Delivered,32.0,DEL_00007,DRV_0442,6.71,32.0,79.9,15.88,Healthy,5.0,11,6,1,Morning
ORD_00008,CUST_0376,REST_018,2026-02-15 23:30:22,209.35,4,Clear,High,Delivered,31.0,DEL_00008,DRV_0499,6.37,31.0,83.6,35.5,Pizza,3.6,23,6,1,Night
ORD_00009,CUST_0087,REST_032,2026-04-06 10:47:00,162.92,3,Cloudy,High,Delivered,22.0,DEL_00009,DRV_0082,5.89,22.0,72.2,31.17,Healthy,3.9,10,0,0,Morning
ORD_00010,CUST_0419,REST_021,2026-04-02 20:29:14,366.2,5,Rain,Medium,Delivered,26.0,DEL_00010,DRV_0128,12.35,26.0,102.1,52.01,Fast Food,3.7,20,3,0,Evening
ORD_00011,CUST_0754,REST_010,2026-04-07 18:54:29,100.0,6,Cloudy,Low,Delivered,29.0,DEL_00011,DRV_0080,2.96,29.0,45.0,16.88,Healthy,4.9,18,1,0,Evening
ORD_00012,CUST_0199,REST_037,2026-01-29 14:11:59,130.55,3,Clear,Medium,Delivered,17.0,DEL_00012,DRV_0189,7.64,17.0,76.7,37.51,Chinese,3.8,14,3,0,Afternoon
ORD_00013,CUST_0463,REST_049,2026-06-19 14:07:22,113.58,3,Rain,Low,Delivered,28.0,DEL_00013,DRV_0480,5.91,28.0,70.0,21.71,Cafe,3.6,14,4,0,Afternoon
ORD_00014,CUST_0437,REST_086,2026-02-25 23:26:03,155.5,1,Clear,Low,Delivered,34.0,DEL_00014,DRV_0156,9.02,34.0,65.4,18.01,Chinese,3.8,23,2,0,Night
ORD_00015,CUST_0310,REST_013,2026-06-20 18:51:46,188.13,6,Clear,Medium,Delivered,8.0,DEL_00015,DRV_0316,2.83,8.0,34.2,16.1,Cafe,3.2,18,5,1,Evening
ORD_00016,CUST_0596,REST_055,2026-05-02 09:25:49,229.64,1,Clear,Medium,Delivered,40.0,DEL_00016,DRV_0160,1.77,40.0,56.7,38.06,North Indian,4.2,9,5,1,Morning
ORD_00017,CUST_0754,REST_017,2026-05-06 20:15:27,149.78,4,Rain,Low,Delivered,17.0,DEL_00017,DRV_0242,12.33,17.0,95.2,26.56,Pizza,4.5,20,2,0,Evening
ORD_00018,CUST_0281,REST_009,2026-03-31 22:25:26,111.88,3,Rain,Low,Delivered,21.0,DEL_00018,DRV_0314,1.14,21.0,32.1,16.4,Biryani,4.6,22,1,0,Night
ORD_00019,CUST_0323,REST_088,2026-03-15 10:52:54,458.2,4,Clear,High,Delivered,36.0,DEL_00019,DRV_0082,2.65,36.0,69.1,58.19,Cafe,3.8,10,6,1,Morning
ORD_00020,CUST_0764,REST_044,2026-05-01 00:04:49,682.94,6,Rain,High,Delivered,19.0,DEL_00020,DRV_0044,1.39,19.0,62.5,58.96,Biryani,4.1,0,4,0,Night
