delivery_id,order_id,driver_id,delivery_distance_km,preparation_time_minutes,delivery_time_minutes,tip_amount
DEL_00001,ORD_00001,DRV_0292,7.57,28.0,77.8,10.68
DEL_00002,ORD_00002,DRV_0419,8.61,30.0,68.3,47.62
DEL_00003,ORD_00003,DRV_0424,19.09,38.0,117.3,22.97
DEL_00004,ORD_00004,DRV_0407,5.79,32.0,89.5,26.44
DEL_00005,ORD_00005,DRV_0201,3.9,39.0,68.2,17.81
DEL_00006,ORD_00006,DRV_0418,10.39,27.0,80.9,4.82
DEL_00007,ORD_00007,DRV_0442,6.71,32.0,79.9,15.88
DEL_00008,ORD_00008,DRV_0499,6.37,31.0,83.6,35.5
DEL_00009,ORD_00009,DRV_0082,5.89,22.0,72.2,31.17
DEL_00010,ORD_00010,DRV_0128,12.35,26.0,102.1,52.01
DEL_00011,ORD_00011,DRV_0080,2.96,29.0,45.0,16.88
DEL_00012,ORD_00012,DRV_0189,7.64,17.0,76.7,37.51
DEL_00013,ORD_00013,DRV_0480,5.91,28.0,70.0,21.71
DEL_00014,ORD_00014,DRV_0156,9.02,34.0,65.4,18.01
DEL_00015,ORD_00015,DRV_0316,2.83,8.0,34.2,16.1
DEL_00016,ORD_00016,DRV_0160,1.77,40.0,56.7,38.06
DEL_00017,ORD_00017,DRV_0242,12.33,17.0,95.2,26.56
DEL_00018,ORD_00018,DRV_0314,1.14,21.0,32.1,16.4
DEL_00019,ORD_00019,DRV_0082,2.65,36.0,69.1,58.19
DEL_00020,ORD_00020,DRV_0044,1.39,19.0,62.5,58.96
DEL_00021,ORD_00021,DRV_0162,8.19,36.0,75.5,34.11
DEL_00022,ORD_00022,DRV_0221,2.14,13.0,52.4,9.56
DEL_00023,ORD_00023,DRV_0149,5.46,26.0,62.9,49.98
DEL_00024,ORD_00024,DRV_0124,2.13,17.0,54.5,23.75
DEL_00025,ORD_00025,DRV_0001,1.67,21.0,45.5,16.7
DEL_00026,ORD_00026,DRV_0183,11.77,12.0,74.6,32.46
DEL_00027,ORD_00027,DRV_0208,6.69,25.0,60.1,18.54
DEL_00028,ORD_00028,DRV_0433,3.4,17.0,66.5,16.46
DEL_00029,ORD_00029,DRV_0097,4.69,21.0,54.3,11.62
