driver_id,age,vehicle_type,rating,experience_years
DRV_0001,35,Bike,4.8,8
DRV_0002,32,Scooter,4.1,2
DRV_0003,44,Scooter,4.7,9
DRV_0004,23,Bike,4.2,9
DRV_0005,30,Bike,4.0,3
DRV_0006,51,Scooter,3.9,4
DRV_0007,26,Bike,4.1,8
DRV_0008,30,Scooter,4.9,9
DRV_0009,47,Scooter,3.9,3
DRV_0010,42,Bike,5.0,5
DRV_0011,42,Scooter,4.0,8
DRV_0012,47,Bike,4.6,3
DRV_0013,45,Scooter,4.2,7
DRV_0014,44,Scooter,4.2,8
DRV_0015,48,Bike,3.8,3
DRV_0016,38,Scooter,4.3,2
DRV_0017,52,Car,3.8,7
DRV_0018,33,Bike,3.6,9
DRV_0019,33,Car,4.3,1
DRV_0020,54,Bike,4.0,3
DRV_0021,49,Bike,5.0,5
DRV_0022,47,Bike,4.7,3
DRV_0023,36,Bike,5.0,1
DRV_0024,22,Bike,4.0,7
DRV_0025,35,Bike,4.4,7
DRV_0026,49,Car,3.3,8
DRV_0027,48,Scooter,4.2,5
DRV_0028,34,Scooter,4.3,5
DRV_0029,44,Bike,4.4,5
DRV_0030,42,Bike,4.3,1
DRV_0031,44,Bike,4.3,5
DRV_0032,26,Scooter,3.2,6
DRV_0033,41,Car,4.4,1
DRV_0034,36,Bike,4.5,7
DRV_0035,37,Bike,4.8,1
DRV_0036,29,Scooter,4.4,2
DRV_0037,29,Bike,4.2,2
DRV_0038,26,Bike,4.7,5
DRV_0039,46,Scooter,3.4,7
DRV_0040,52,Scooter,4.1,1
DRV_0041,20,Bike,4.0,1
DRV_0042,53,Bike,4.3,1
DRV_0043,23,Car,3.4,6
DRV_0044,36,Bike,4.8,2
DRV_0045,23,Bike,4.2,1
DRV_0046,45,Bike,4.4,6
DRV_0047,23,Bike,4.4,2
DRV_0048,20,Bike,4.8,6
DRV_0049,26,Scooter,3.6,8
DRV_0050,49,Bike,4.3,2
DRV_0051,28,Bike,4.8,9
DRV_0052,54,Scooter,4.3,8
DRV_0053,27,Scooter,3.9,1
DRV_0054,43,Car,4.1,7
DRV_0055,38,Car,4.1,6
