order_id,customer_id,restaurant_id,order_timestamp,order_amount,number_of_items,weather,traffic_condition,order_status,preparation_time_minutes
ORD_00001,CUST_0785,REST_025,2026-05-10 00:04:01,100.0,1,Cloudy,Medium,Delivered,28.0
ORD_00002,CUST_0894,REST_066,2026-04-30 05:33:18,396.77,1,Cloudy,Low,Delivered,30.0
ORD_00003,CUST_0776,REST_100,2026-02-03 10:44:48,197.8,5,Clear,Low,Delivered,38.0
ORD_00004,CUST_0569,REST_018,2026-05-17 07:27:57,145.79,5,Rain,High,Delivered,32.0
ORD_00005,CUST_0298,REST_005,2026-05-21 01:33:11,147.25,2,Rain,Low,Delivered,39.0
ORD_00006,CUST_0610,REST_019,2026-06-04 09:08:16,100.0,2,Clear,Medium,Delivered,27.0
ORD_00007,CUST_0137,REST_042,2026-02-22 11:46:51,251.22,4,Rain,Medium,Delivered,32.0
ORD_00008,CUST_0376,REST_018,2026-02-15 23:30:22,209.35,4,Clear,High,Delivered,31.0
ORD_00009,CUST_0087,REST_032,2026-04-06 10:47:00,162.92,3,Cloudy,High,Delivered,22.0
ORD_00010,CUST_0419,REST_021,2026-04-02 20:29:14,366.2,5,Rain,Medium,Delivered,26.0
ORD_00011,CUST_0754,REST_010,2026-04-07 18:54:29,100.0,6,Cloudy,Low,Delivered,29.0
ORD_00012,CUST_0199,REST_037,2026-01-29 14:11:59,130.55,3,Clear,Medium,Delivered,17.0
ORD_00013,CUST_0463,REST_049,2026-06-19 14:07:22,113.58,3,Rain,Low,Delivered,28.0
ORD_00014,CUST_0437,REST_086,2026-02-25 23:26:03,155.5,1,Clear,Low,Delivered,34.0
ORD_00015,CUST_0310,REST_013,2026-06-20 18:51:46,188.13,6,Clear,Medium,Delivered,8.0
ORD_00016,CUST_0596,REST_055,2026-05-02 09:25:49,229.64,1,Clear,Medium,Delivered,40.0
ORD_00017,CUST_0754,REST_017,2026-05-06 20:15:27,149.78,4,Rain,Low,Delivered,17.0
ORD_00018,CUST_0281,REST_009,2026-03-31 22:25:26,111.88,3,Rain,Low,Delivered,21.0
ORD_00019,CUST_0323,REST_088,2026-03-15 10:52:54,458.2,4,Clear,High,Delivered,36.0
ORD_00020,CUST_0764,REST_044,2026-05-01 00:04:49,682.94,6,Rain,High,Delivered,19.0
ORD_00021,CUST_0702,REST_078,2026-04-08 04:18:39,196.14,6,Clear,Medium,Delivered,36.0
ORD_00022,CUST_0951,REST_046,2026-04-22 17:59:16,119.55,5,Heavy Rain,Medium,Delivered,13.0
ORD_00023,CUST_0942,REST_008,2026-02-22 06:24:38,408.09,2,Cloudy,High,Delivered,26.0
ORD_00024,CUST_0152,REST_037,2026-02-02 14:10:39,100.0,1,Clear,Medium,Delivered,17.0
ORD_00025,CUST_0994,REST_019,2026-06-10 10:30:02,150.79,5,Clear,Medium,Delivered,21.0
ORD_00026,CUST_0302,REST_063,2026-01-09 16:28:26,123.61,5,Clear,Medium,Delivered,12.0
ORD_00027,CUST_0278,REST_092,2026-02-04 13:29:49,100.0,1,Clear,Low,Cancelled,25.0
ORD_00028,CUST_0651,REST_046,2026-02-21 13:01:33,155.4,1,Rain,Medium,Cancelled,17.0
ORD_00029,CUST_0688,REST_094,2026-03-30 19:01:51,112.7,6,Clear,Low,Delivered,21.0
ORD_00030,CUST_0008,REST_071,2026-01-11 02:30:02,182.54,6,Heavy Rain,Medium,Delivered,25.0
ORD_00031,CUST_0807,REST_026,2026-03-16 05:19:31,184.0,3,Cloudy,Medium,Delivered,39.0
ORD_00032,CUST_0235,REST_046,2026-03-01 13:59:44,128.8,4,Cloudy,Low,Delivered,13.0
ORD_00033,CUST_0675,REST_046,2026-05-18 19:56:31,147.85,6,Clear,High,Delivered,15.0
ORD_00034,CUST_0561,REST_075,2026-05-30 03:39:46,159.66,5,Rain,Low,Delivered,9.0
ORD_00035,CUST_0302,REST_014,2026-03-10 10:07:05,282.99,3,Cloudy,Medium,Delivered,32.0
ORD_00036,CUST_0038,REST_085,2026-05-16 02:02:38,167.06,3,Rain,Medium,Delivered,20.0
ORD_00037,CUST_0136,REST_063,2026-01-21 21:26:06,285.31,5,Heavy Rain,Medium,Delivered,12.0
ORD_00038,CUST_0822,REST_072,2026-01-15 12:05:59,250.18,6,Clear,Medium,Delivered,19.0
ORD_00039,CUST_0421,REST_003,2026-03-26 01:12:49,248.23,5,Clear,Medium,Delivered,15.0
ORD_00040,CUST_0219,REST_028,2026-04-06 20:15:34,388.9,2,Rain,High,Delivered,24.0
ORD_00041,CUST_0348,REST_029,2026-02-05 04:25:33,100.0,6,Rain,High,Delivered,29.0
ORD_00042,CUST_0808,REST_087,2026-06-03 12:43:53,139.74,4,Cloudy,Medium,Delivered,8.0
ORD_00043,CUST_0546,REST_018,2026-01-03 06:18:27,478.1,5,Clear,High,Delivered,32.0
ORD_00044,CUST_0864,REST_035,2026-06-20 15:33:28,157.35,6,Cloudy,Low,Delivered,34.0
ORD_00045,CUST_0079,REST_077,2026-04-06 22:31:09,100.0,1,Clear,High,Delivered,12.0
ORD_00046,CUST_0748,REST_076,2026-04-13 11:32:06,162.12,2,Clear,High,Delivered,17.0
ORD_00047,CUST_0895,REST_047,2026-03-03 22:11:57,195.24,4,Clear,Medium,Delivered,26.0
ORD_00048,CUST_0273,REST_005,2026-04-21 16:39:38,100.0,6,Clear,High,Cancelled,35.0
ORD_00049,CUST_0161,REST_075,2026-04-11 23:01:15,377.54,1,Clear,Medium,Delivered,12.0
ORD_00050,CUST_0687,REST_059,2026-06-23 04:58:08,122.42,6,Heavy Rain,Low,Delivered,34.0
ORD_00051,CUST_0878,REST_075,2026-05-19 12:48:25,217.18,1,Rain,High,Delivered,9.0
ORD_00052,CUST_0308,REST_059,2026-03-26 13:20:26,160.09,4,Rain,Medium,Delivered,31.0
ORD_00053,CUST_0374,REST_047,2026-04-07 12:42:13,100.0,2,Rain,Medium,Delivered,25.0
ORD_00054,CUST_0976,REST_095,2026-02-04 09:23:33,100.61,1,Clear,Medium,Delivered,24.0
ORD_00055,CUST_0733,REST_095,2026-06-03 05:43:53,108.39,3,Rain,High,Delivered,32.0
ORD_00056,CUST_0009,REST_013,2026-03-15 10:24:21,329.35,4,Rain,Medium,Delivered,11.0
ORD_00057,CUST_0801,REST_078,2026-01-02 05:42:28,167.14,4,Rain,Low,Delivered,34.0
ORD_00058,CUST_0444,REST_089,2026-03-06 09:47:14,136.04,5,Cloudy,Medium,Delivered,18.0
ORD_00059,CUST_0113,REST_033,2026-01-29 14:46:25,108.41,2,Clear,High,Delivered,30.0
ORD_00060,CUST_0989,REST_097,2026-01-19 22:49:06,349.98,3,Clear,Medium,Delivered,12.0
ORD_00061,CUST_0205,REST_062,2026-04-24 01:28:40,405.58,3,Clear,High,Delivered,22.0
ORD_00062,CUST_0405,REST_079,2026-04-15 04:00:50,347.79,5,Heavy Rain,High,Delivered,34.0
ORD_00063,CUST_0698,REST_016,2026-02-13 11:21:22,237.66,1,Clear,Medium,Delivered,25.0
ORD_00064,CUST_0853,REST_044,2026-01-27 19:13:52,212.6,1,Rain,Medium,Delivered,27.0
ORD_00065,CUST_0197,REST_058,2026-05-08 08:02:25,100.0,3,Clear,Medium,Delivered,16.0
ORD_00066,CUST_0778,REST_006,2026-04-28 03:21:14,158.35,2,Cloudy,Medium,Delivered,23.0
ORD_00067,CUST_0774,REST_089,2026-06-12 12:14:03,124.45,1,Clear,Medium,Delivered,21.0
ORD_00068,CUST_0760,REST_015,2026-05-28 02:57:06,100.0,4,Clear,High,Delivered,27.0
ORD_00069,CUST_0115,REST_004,2026-02-03 18:09:21,324.2,6,Clear,High,Delivered,15.0
ORD_00070,CUST_0121,REST_056,2026-05-26 16:38:15,123.63,5,Cloudy,Medium,Delivered,36.0
ORD_00071,CUST_0653,REST_064,2026-01-09 01:07:49,349.94,2,Clear,Medium,Delivered,12.0
ORD_00072,CUST_0065,REST_068,2026-01-12 20:58:46,294.41,1,Rain,Medium,Delivered,21.0
ORD_00073,CUST_0276,REST_094,2026-05-16 18:18:08,246.21,6,Clear,Medium,Delivered,22.0
ORD_00074,CUST_0825,REST_034,2026-05-22 07:57:05,253.94,3,Rain,Medium,Delivered,14.0
ORD_00075,CUST_0239,REST_091,2026-04-03 10:36:28,129.23,5,Clear,High,Cancelled,18.0
ORD_00076,CUST_0302,REST_095,2026-02-20 11:41:50,503.62,1,Cloudy,Medium,Delivered,33.0
ORD_00077,CUST_0392,REST_056,2026-02-02 17:14:26,185.62,3,Clear,Low,Delivered,31.0
ORD_00078,CUST_0522,REST_032,2026-02-09 04:12:34,214.02,1,Rain,Medium,Cancelled,17.0
ORD_00079,CUST_0969,REST_009,2026-01-08 10:16:40,126.85,5,Clear,Low,Delivered,25.0
ORD_00080,CUST_0369,REST_063,2026-04-08 20:43:14,108.62,4,Cloudy,Medium,Delivered,11.0
ORD_00081,CUST_0233,REST_072,2026-05-05 10:51:02,235.69,4,Rain,Low,Delivered,15.0
ORD_00082,CUST_0195,REST_078,2026-01-17 08:36:27,204.31,6,Clear,High,Delivered,33.0
ORD_00083,CUST_0907,REST_033,2026-03-08 00:23:15,117.43,3,Clear,Low,Delivered,31.0
