review_id,order_id,customer_id,rating,review_text
REV_00001,ORD_00001,CUST_0785,3,Food was okay but delivery took some time.
REV_00002,ORD_00002,CUST_0894,3,Food was okay but delivery took some time.
REV_00003,ORD_00003,CUST_0776,2,Very slow delivery and poor experience.
REV_00004,ORD_00004,CUST_0569,2,Food arrived late.
REV_00005,ORD_00005,CUST_0298,3,Average experience.
REV_00006,ORD_00006,CUST_0610,1,Food arrived late.
REV_00007,ORD_00007,CUST_0137,3,Food was okay but delivery took some time.
REV_00008,ORD_00008,CUST_0376,2,The delivery took too long.
REV_00009,ORD_00009,CUST_0087,4,Food was delicious and delivery was fast.
REV_00010,ORD_00010,CUST_0419,2,The delivery took too long.
REV_00011,ORD_00011,CUST_0754,3,Delivery was acceptable.
REV_00012,ORD_00012,CUST_0199,3,Food was okay but delivery took some time.
REV_00013,ORD_00013,CUST_0463,2,Delivery was very late and food was cold.
REV_00014,ORD_00014,CUST_0437,4,Food was delicious and delivery was fast.
REV_00015,ORD_00015,CUST_0310,4,Great food and excellent service.
REV_00016,ORD_00016,CUST_0596,3,Average experience.
REV_00017,ORD_00017,CUST_0754,2,The delivery took too long.
REV_00018,ORD_00018,CUST_0281,4,Loved the food and quick delivery.
REV_00019,ORD_00019,CUST_0323,4,Food was delicious and delivery was fast.
REV_00020,ORD_00020,CUST_0764,2,The delivery took too long.
REV_00021,ORD_00021,CUST_0702,3,Average experience.
REV_00022,ORD_00022,CUST_0951,4,Loved the food and quick delivery.
REV_00023,ORD_00023,CUST_0942,2,Order was delayed and food was not hot.
REV_00024,ORD_00024,CUST_0152,4,Great food and excellent service.
REV_00025,ORD_00025,CUST_0994,4,Very good service and tasty food.
REV_00026,ORD_00026,CUST_0302,3,The experience was okay.
REV_00027,ORD_00027,CUST_0278,3,Food was decent but could be better.
REV_00028,ORD_00028,CUST_0651,3,Food was okay but delivery took some time.
REV_00029,ORD_00029,CUST_0688,4,Great food and excellent service.
REV_00030,ORD_00030,CUST_0008,5,Very good service and tasty food.
REV_00031,ORD_00031,CUST_0807,3,Food was decent but could be better.
REV_00032,ORD_00032,CUST_0235,3,Food was decent but could be better.
REV_00033,ORD_00033,CUST_0675,2,Food arrived late.
REV_00034,ORD_00034,CUST_0561,5,Great food and excellent service.
REV_00035,ORD_00035,CUST_0302,3,Food was decent but could be better.
REV_00036,ORD_00036,CUST_0038,3,Food was okay but delivery took some time.
REV_00037,ORD_00037,CUST_0136,3,Food was okay but delivery took some time.
REV_00038,ORD_00038,CUST_0822,2,Order was delayed and food was not hot.
REV_00039,ORD_00039,CUST_0421,3,Food was okay but delivery took some time.
REV_00040,ORD_00040,CUST_0219,2,Very slow delivery and poor experience.
REV_00041,ORD_00041,CUST_0348,3,Food was decent but could be better.
REV_00042,ORD_00042,CUST_0808,4,Loved the food and quick delivery.
REV_00043,ORD_00043,CUST_0546,3,Food was decent but could be better.
REV_00044,ORD_00044,CUST_0864,4,Food was delicious and delivery was fast.
REV_00045,ORD_00045,CUST_0079,2,Order was delayed and food was not hot.
REV_00046,ORD_00046,CUST_0748,3,The experience was okay.
REV_00047,ORD_00047,CUST_0895,2,Delivery was very late and food was cold.
REV_00048,ORD_00048,CUST_0273,3,Delivery was acceptable.
REV_00049,ORD_00049,CUST_0161,4,Food was delicious and delivery was fast.
REV_00050,ORD_00050,CUST_0687,2,The delivery took too long.
REV_00051,ORD_00051,CUST_0878,3,Food was decent but could be better.
REV_00052,ORD_00052,CUST_0308,3,The experience was okay.
REV_00053,ORD_00053,CUST_0374,4,"Amazing experience, food arrived hot."
REV_00054,ORD_00054,CUST_0976,2,The delivery took too long.
REV_00055,ORD_00055,CUST_0733,2,Food arrived late.
REV_00056,ORD_00056,CUST_0009,2,Delivery was very late and food was cold.
REV_00057,ORD_00057,CUST_0801,3,Food was okay but delivery took some time.
REV_00058,ORD_00058,CUST_0444,4,Great food and excellent service.
REV_00059,ORD_00059,CUST_0113,2,Very slow delivery and poor experience.
REV_00060,ORD_00060,CUST_0989,3,Food was okay but delivery took some time.
REV_00061,ORD_00061,CUST_0205,3,Average experience.
REV_00062,ORD_00062,CUST_0405,3,Food was okay but delivery took some time.
REV_00063,ORD_00063,CUST_0698,4,Very good service and tasty food.
REV_00064,ORD_00064,CUST_0853,3,Food was decent but could be better.
