payment_id,order_id,payment_method,payment_amount
PAY_00001,ORD_00001,Cash,110.68
PAY_00002,ORD_00002,UPI,444.39
PAY_00003,ORD_00003,Debit Card,220.77
PAY_00004,ORD_00004,UPI,172.23
PAY_00005,ORD_00005,UPI,165.06
PAY_00006,ORD_00006,Debit Card,104.82
PAY_00007,ORD_00007,UPI,267.1
PAY_00008,ORD_00008,Debit Card,244.85
PAY_00009,ORD_00009,UPI,194.09
PAY_00010,ORD_00010,Debit Card,418.21
PAY_00011,ORD_00011,Debit Card,116.88
PAY_00012,ORD_00012,UPI,168.06
PAY_00013,ORD_00013,Cash,135.29
PAY_00014,ORD_00014,UPI,173.51
PAY_00015,ORD_00015,Credit Card,204.23
PAY_00016,ORD_00016,Cash,267.7
PAY_00017,ORD_00017,UPI,176.34
PAY_00018,ORD_00018,Credit Card,128.28
PAY_00019,ORD_00019,UPI,516.39
PAY_00020,ORD_00020,UPI,741.9
PAY_00021,ORD_00021,UPI,230.25
PAY_00022,ORD_00022,Cash,129.11
PAY_00023,ORD_00023,UPI,458.07
PAY_00024,ORD_00024,UPI,123.75
PAY_00025,ORD_00025,Cash,167.49
PAY_00026,ORD_00026,UPI,156.07
PAY_00027,ORD_00027,Debit Card,118.54
PAY_00028,ORD_00028,Credit Card,171.86
PAY_00029,ORD_00029,Credit Card,124.32
PAY_00030,ORD_00030,UPI,197.39
PAY_00031,ORD_00031,Credit Card,209.64
PAY_00032,ORD_00032,Cash,162.77
PAY_00033,ORD_00033,UPI,176.9
PAY_00034,ORD_00034,UPI,183.27
PAY_00035,ORD_00035,Cash,334.21
PAY_00036,ORD_00036,UPI,198.65
PAY_00037,ORD_00037,UPI,330.81
PAY_00038,ORD_00038,UPI,280.71
PAY_00039,ORD_00039,UPI,285.53
PAY_00040,ORD_00040,UPI,455.37
PAY_00041,ORD_00041,UPI,125.64
PAY_00042,ORD_00042,UPI,152.11
PAY_00043,ORD_00043,Debit Card,513.58
PAY_00044,ORD_00044,Debit Card,186.05
PAY_00045,ORD_00045,UPI,117.91
PAY_00046,ORD_00046,UPI,189.83
PAY_00047,ORD_00047,Cash,204.61
PAY_00048,ORD_00048,Cash,109.9
PAY_00049,ORD_00049,Cash,423.33
PAY_00050,ORD_00050,Cash,144.49
PAY_00051,ORD_00051,Credit Card,253.44
PAY_00052,ORD_00052,UPI,193.88
PAY_00053,ORD_00053,Cash,124.6
PAY_00054,ORD_00054,Debit Card,111.79
PAY_00055,ORD_00055,Debit Card,125.94
PAY_00056,ORD_00056,Debit Card,367.8
PAY_00057,ORD_00057,Credit Card,188.87
PAY_00058,ORD_00058,Credit Card,158.85
PAY_00059,ORD_00059,UPI,131.59
PAY_00060,ORD_00060,UPI,394.57
PAY_00061,ORD_00061,UPI,469.01
PAY_00062,ORD_00062,Credit Card,394.58
PAY_00063,ORD_00063,Debit Card,275.17
PAY_00064,ORD_00064,UPI,233.95
PAY_00065,ORD_00065,Debit Card,121.3
PAY_00066,ORD_00066,UPI,185.11
PAY_00067,ORD_00067,Cash,145.05
PAY_00068,ORD_00068,UPI,116.48
PAY_00069,ORD_00069,Credit Card,359.31
PAY_00070,ORD_00070,UPI,145.33
PAY_00071,ORD_00071,UPI,399.5
PAY_00072,ORD_00072,UPI,330.27
PAY_00073,ORD_00073,Credit Card,273.85
PAY_00074,ORD_00074,UPI,273.05
PAY_00075,ORD_00075,Cash,147.43
PAY_00076,ORD_00076,Debit Card,543.64
PAY_00077,ORD_00077,UPI,201.4
PAY_00078,ORD_00078,Credit Card,247.43
PAY_00079,ORD_00079,UPI,152.3
PAY_00080,ORD_00080,Credit Card,121.78
PAY_00081,ORD_00081,Credit Card,263.51
PAY_00082,ORD_00082,UPI,235.9
PAY_00083,ORD_00083,Credit Card,140.08
PAY_00084,ORD_00084,UPI,117.37
PAY_00085,ORD_00085,UPI,127.21
PAY_00086,ORD_00086,Debit Card,368.57
PAY_00087,ORD_00087,UPI,155.62
PAY_00088,ORD_00088,UPI,162.58
PAY_00089,ORD_00089,UPI,468.06
PAY_00090,ORD_00090,Debit Card,124.37
PAY_00091,ORD_00091,UPI,143.52
PAY_00092,ORD_00092,Debit Card,131.97
PAY_00093,ORD_00093,Credit Card,478.74
PAY_00094,ORD_00094,Debit Card,606.33
PAY_00095,ORD_00095,UPI,323.37
PAY_00096,ORD_00096,UPI,331.72
PAY_00097,ORD_00097,Debit Card,168.15
PAY_00098,ORD_00098,UPI,608.33
PAY_00099,ORD_00099,UPI,252.89
PAY_00100,ORD_00100,UPI,308.86
PAY_00101,ORD_00101,UPI,199.6
PAY_00102,ORD_00102,UPI,175.64
PAY_00103,ORD_00103,Cash,493.72
PAY_00104,ORD_00104,UPI,295.34
PAY_00105,ORD_00105,Debit Card,446.55
PAY_00106,ORD_00106,UPI,234.57
PAY_00107,ORD_00107,Debit Card,131.67
PAY_00108,ORD_00108,Debit Card,169.14
PAY_00109,ORD_00109,UPI,229.02
PAY_00110,ORD_00110,Credit Card,162.11
PAY_00111,ORD_00111,UPI,119.46
PAY_00112,ORD_00112,Debit Card,394.44
PAY_00113,ORD_00113,Debit Card,151.79
PAY_00114,ORD_00114,UPI,218.99
PAY_00115,ORD_00115,UPI,230.97
PAY_00116,ORD_00116,Credit Card,154.78
PAY_00117,ORD_00117,Credit Card,441.02
PAY_00118,ORD_00118,UPI,130.66
PAY_00119,ORD_00119,UPI,229.12
PAY_00120,ORD_00120,Debit Card,252.68
PAY_00121,ORD_00121,UPI,213.82
PAY_00122,ORD_00122,UPI,115.91
PAY_00123,ORD_00123,UPI,314.74
PAY_00124,ORD_00124,UPI,320.07
PAY_00125,ORD_00125,Credit Card,153.96
PAY_00126,ORD_00126,Credit Card,313.07
PAY_00127,ORD_00127,Credit Card,260.69
PAY_00128,ORD_00128,Debit Card,126.4
PAY_00129,ORD_00129,Debit Card,135.01
PAY_00130,ORD_00130,UPI,398.78
PAY_00131,ORD_00131,UPI,243.53
PAY_00132,ORD_00132,UPI,163.33
PAY_00133,ORD_00133,Debit Card,128.86
PAY_00134,ORD_00134,Credit Card,156.23
PAY_00135,ORD_00135,UPI,157.97
PAY_00136,ORD_00136,UPI,129.36
PAY_00137,ORD_00137,Debit Card,118.86
PAY_00138,ORD_00138,UPI,375.65
PAY_00139,ORD_00139,UPI,347.19
PAY_00140,ORD_00140,Credit Card,122.69
PAY_00141,ORD_00141,Debit Card,227.64
PAY_00142,ORD_00142,UPI,123.16
PAY_00143,ORD_00143,Debit Card,179.23
PAY_00144,ORD_00144,UPI,171.9
PAY_00145,ORD_00145,Credit Card,165.29
PAY_00146,ORD_00146,Credit Card,600.98
PAY_00147,ORD_00147,Debit Card,157.9
PAY_00148,ORD_00148,UPI,134.57
PAY_00149,ORD_00149,Debit Card,146.0
PAY_00150,ORD_00150,Credit Card,374.04
PAY_00151,ORD_00151,Debit Card,116.29
PAY_00152,ORD_00152,Credit Card,132.28
PAY_00153,ORD_00153,UPI,418.66
PAY_00154,ORD_00154,UPI,239.21
PAY_00155,ORD_00155,Debit Card,221.29
PAY_00156,ORD_00156,Cash,613.75
PAY_00157,ORD_00157,UPI,227.64
PAY_00158,ORD_00158,UPI,155.84
PAY_00159,ORD_00159,Credit Card,176.98
PAY_00160,ORD_00160,UPI,119.59
